Locale,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20
"US",1.00000000000000,1.10517091807565,1.80967483607192,2.21034183615129,4.52418709017980,5.28011124641871,5.28011124641871,5.28011124641871,5.52585459037824,6.33386192625172,7.41679657911468,8.68453624791643,9.95321159839555,10.9287384890718,11.5894592461536,11.9657190742831,12.1253162017196,12.1568800988321,12.1568800988321,12.1568800988321,12.2083661047851,12.3025736446830,12.4309670697978,12.5849526598012,12.7556542019429,12.9337515713872,13.1093867405632,13.2721440884387,13.4111126900057,13.5150372415605,13.5725612705394,13.5725612705394,16.5775637711347,46.1467083198339,56.3637168218580,61.7946873993135,64.0999132483875,66.3102550845388,71.8918041592435,81.7826479375979,97.7313119433004,121.586085843913,156.062452384018,204.816146021818,272.375460962581,363.744642050456,483.433656263731,644.314645238102,867.739083896486,1159.09673250406,1526.40483421197,1995.06525124865,2605.55105929127,3423.06365837813,4554.29395842416,6177.82539019698,8601.54525538277,12375.4613664778,17663.9148128725,24064.4271662848,30105.7505728924,33276.0000000000,39618.8003765285,41791.1773705866,42027.0309286769,44061.8340271289,44888.1799953269,45682.7737319500,46132.1864513164
"Thailand",2.00000000000000,3.13373779807758,4.67714108010339,6.33386192625172,7.41331023600908,8.84136734460518,12.6677238525034,14.6059603128456,15.4723928530591,17.1919109426832,18.5629211568758,19.7506075987216,20.9982474434373,22.6209354508990,24.2751815170808,25.9181480572339,27.4979850492883,28.9547973771507,30.2225936359609,31.3039418146223,32.2094500680323,32.9561465431958,33.5656097485827,34.0620480791414,34.4704927229983,34.8152215076937,35.1184833371158,35.3995521856076,35.6741110131319,35.9539506612420,36.2469649669773,36.5574270791932,36.8865383230940,37.2332450090717,37.5953165208615,37.9706682444581,38.3588969153159,38.7629788095473,39.1910711004663,39.6583636946967,40.1889627822145,40.8178558261931,41.5931155852750,42.5786518892020,43.8580226452565,45.5400921401896,47.7677251969278,50.7313293528933,54.6900877240543,60.0054963694492,67.1949438861815,77.0186977160904,90.6240152822031,109.789608235241,136.086515406011,171.500235635239,218.354859426619,279.097392148555,355.865035620358,449.770964743726,541.997613403540,599.000000000000,700.613639426769,762.373062953163,800.500821290494,820.317013108513,830.753567030790,845.554721549483,862.107984709995
"Japan",2.00000000000000,2.00000000000000,2.00000000000000,2.21034183615129,3.61934967214384,4.42068367230259,6.33386192625172,7.73619642652953,10.3194188721854,14.0207956076667,18.0967483607192,20.6947277013715,22.1034183615130,23.2439005552998,24.3137601976643,25.5583329104669,25.5583329104669,25.5583329104669,25.5583329104669,25.5583329104669,25.5583329104669,26.0607098128444,27.8475395884422,32.0499566241938,40.8320554980795,53.3854076641216,66.4057598070477,79.3110834326737,91.7888735243984,103.886066299111,116.042946397943,128.966474410105,142.700857307998,157.311154071032,172.885078133955,189.533123057245,207.386846227988,226.595232261724,247.319119451910,269.723721464305,293.969335750532,320.200427166828,348.533432907210,379.043862670802,411.753554364343,446.619252681245,483.523941464896,522.272498218342,562.593165984197,604.145991905945,646.538749493280,689.349997564887,732.157959236101,774.573007843313,816.270914236616,857.023793340031,896.725954761038,935.412572357344,973.270101423619,1010.63848773173,1048.00621922490,1086.00000000000,1121.12317733835,1156.68052568694,1191.22168201201,1224.39204885156,1256.03947558207,1286.32712853319,1315.42832795999
"Singapore",,1.00000000000000,2.71451225410788,3.31551275422694,4.10744691441739,5.11266498083972,6.33386192625172,7.73619642652953,9.58418808177525,11.8684853325378,14.4773986885754,17.1428925229073,19.8930765253617,22.8386424719498,25.9708014591890,29.2847823832116,32.7817439701528,36.4706402964964,40.3701761573675,44.4446343018473,48.6476236945952,52.9230975669740,57.2075765185403,61.4335458475179,65.5338031198290,69.4463462337606,73.1192588989378,76.5150079772085,79.6136340332414,82.4144832219019,84.9363590766834,87.2162145927055,89.3067059412618,91.2730519847957,93.1896749036473,95.1370466549554,97.1990598712325,99.4611121642730,102.008967931844,104.928360504590,108.305227703897,112.226434346189,116.780818922541,122.060399363727,128.161575684566,135.186168668820,143.242129640131,152.443745646064,162.911148614414,174.768920203118,188.143572287946,203.159684193465,219.934500769614,238.570848895450,259.148320413453,281.712798630022,306.264567810277,332.745425779174,361.025394772898,390.889764591535,422.027274191289,455.000000000000,489.697044605728,525.747936949297,563.337998480885,602.525867309093,643.177640923547,685.044495795808,728.247492542591
"Nepal",,,,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.10517091807565,1.80967483607192,2.00000000000000
"Malaysia",,,,3.00000000000000,3.61934967214384,3.88700423684215,4.42068367230259,6.33386192625172,7.74540642824833,8.46165787668514,8.64453238276380,8.64453238276380,8.84136734460518,9.66451428144719,10.8580490164315,12.0576655552585,13.2620510169078,14.4773986885754,15.6385668529816,16.7263099842529,17.7243668554845,18.6200384569577,19.4045636423724,20.0732932644794,20.6256782370689,21.0650990122858,21.3985726739076,21.6363788140584,21.7916466004238,21.8799434420789,21.9189013247616,21.9279113462241,21.9279113462241,21.9412865705388,22.0601540580686,22.3809653638854,23.0110665974782,24.0803804735104,25.7603716171144,28.2946794142128,32.0499566241938,37.6034695248344,45.2418709017980,55.2585459037824,75.1015056969847,93.0461167931867,107.787208904398,119.749721406627,130.869684948806,144.304478397070,164.670466793271,199.464552142115,263.030678502004,387.270414919391,529.683871019909,679.226266989323,824.153801003802,954.990121568174,1066.56426058060,1158.70633020726,1235.82952095251,1306.00000000000,1520.91840768570,1595.41295244606,1749.14788616322,1895.91517039632,2061.75939486360,2219.48641982514,2356.45098125327
"Canada",,,,,1.00000000000000,1.10517091807565,1.80967483607192,2.00000000000000,2.21034183615129,3.61934967214384,4.27706702782120,4.28816218902176,4.28816218902176,4.42068367230259,4.85589509181136,5.52585459037824,6.33386192625172,6.87386744613117,7.16049971395220,7.25840711050286,7.25840711050286,7.25840711050286,7.25840711050286,7.26309362469641,7.28025231412202,7.31785657473470,7.38436201846375,7.48912957770694,7.64299020788796,7.85898934187840,8.15338315586034,8.54700606199465,9.06719839151763,9.75059022405566,10.6472080967746,11.8266517936070,13.3875599308499,15.4723928530591,18.2909820036987,21.7160980328630,25.4233495399363,29.4529095107651,33.8849511023898,38.8515458161187,44.5525891245793,51.2792923717618,59.4507562398036,69.6724811887689,82.8316137971647,101.315546918706,129.304997414851,174.633621680940,218.823841778978,278.503071355063,375.507528484923,495.346952387456,637.973826839821,800.569574635074,976.783881843664,1156.38222024996,1325.58681742268,1470.00000000000,1590.27837023300,1662.37994178412,1685.74587728374,1717.71887451018,1745.80675639978,1758.21521294319,1768.15418624878
"Australia",,,,,4.00000000000000,4.68195697955125,5.52585459037824,6.63102550845389,8.14353676232364,9.62120370815033,10.9816333777750,12.1608196902568,13.1206192083791,13.8509187988453,14.3672219349834,14.7053098271500,14.8966878215769,14.9805035137855,15.0000000000000,15.0000000000000,15.0000000000000,15.0000000000000,15.0000000000000,15.0000000000000,15.0000000000000,15.0000000000000,15.0292534124402,15.2099049868872,15.6731155932638,16.5775637711347,18.1434304276479,19.9064231967911,21.2121166524775,22.1347073702654,22.8057621549358,23.3925931814574,24.0855706138750,25.0993215908096,26.6916259988887,29.2063640412587,33.1551275422694,39.3709552581168,47.0515457378699,54.4459014945054,61.6130535882698,68.8683054601586,76.7941349694545,86.2822680451439,98.6558250467090,115.945638503313,141.461877513683,180.967483607192,231.631342230492,295.771391186532,375.667379748340,473.222849095434,589.480227072285,724.003243161593,874.190196197837,1034.64632540853,1188.95636729925,1314.00000000000,1449.60734413259,1540.86253230972,1596.81011466800,1616.51746453503,1633.95281038364,1656.66565219128,1679.60530509716
"Cambodia",,,,,,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.10517091807565,1.80967483607192,2.09823012683737,2.21034183615129,2.71451225410788,3.31551275422694,4.73790261833132,6.33386192625172,6.33386192625172,7.73619642652953,29.8596347951867,38.6809821326477,40.8913239687990,47.2969466585677,58.5740586580093,76.0063431150206,84.0000000000000
"Sri Lanka",,,,,,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.10517091807565,1.80967483607192,2.21034183615129,5.42902450821576,11.0517091807565,19.5826653940452,30.6725735273759,43.1286292049264,55.2863777393516,65.6154565172815,73.2194143890160,78.0140546467336,80.6006243127483,82.0000000000000
"Germany",,,,,,1.00000000000000,3.61934967214384,4.42068367230259,4.42068367230259,5.44166999578143,7.23869934428767,9.13518328082783,10.8580490164315,12.0673962557874,12.8085680532052,13.2620510169078,13.6817495140649,14.0657899284738,14.4128348346844,14.7221079291223,14.9934151973798,15.2271591932408,15.4243434869538,15.5865651156859,15.7159940971964,15.8153405353869,15.8878113119405,15.9370595990136,15.9671312804914,15.9824127547994,15.9875845221591,15.9875845221591,15.9875845221591,16.2640828199007,18.7879056072860,27.5098172102630,41.6225212296541,53.0482040676311,78.0950571857505,117.628864344675,160.571584029892,212.118088635834,289.554780535819,436.131635493333,606.241070084093,780.793338602882,957.589890156648,1149.38477616638,1387.66134764003,1731.90247413910,2296.54516776119,3325.27751128215,4614.50749449275,6178.73708546556,8036.80291624611,10223.7096390483,12687.6343018090,15321.6355336633,17959.2130731777,20381.3314442648,22637.0509647954,24873.0000000000,26159.8616490756,27051.6908762544,27329.2930313633,27686.1542243674,28065.7125458329,28209.7672200666,28294.8510711672
"Finland",,,,,,,,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.10517091807565,1.80967483607192,2.02944196119924,2.21034183615129,3.31551275422694,5.42902450821576,6.00000000000000,6.00000000000000,6.63102550845389,10.8580490164315,13.9405743755909,16.5775637711347,21.5687668038549,29.4322926140213,40.3781708719974,53.3854076641216,65.2050841664632,140.249799795574,216.329578199315,269.661704010458,306.132344306954,338.597215198180,371.337428473417,410.953047402895,457.213624527591,509.465690988482,566.428223690511,626.000000000000,696.019065536779,772.167338210095,854.271069460734,945.291207830201,1046.36408433159,1157.29525498187,1277.13636226418
"United Arab Emirates",,,,,,,,4.00000000000000,4.14763818730491,4.29134513746959,4.42068367230259,4.52418709017980,4.58612466547077,4.65741424821464,4.79266549673686,5.05454581619565,5.52585459037824,6.33386192625172,7.02267227236860,7.56673469242435,7.95966027998786,8.21236234529502,8.34904580596317,8.40249725756743,8.40989037672603,8.40989037672603,8.40989037672603,8.41004404059081,8.55252530057568,8.99412366183765,9.94653826268083,11.7628864344675,12.6695468686494,12.9119556877969,12.9355611071934,13.2348600002073,14.3672219349834,17.1919109426832,19.6198525455553,21.5847886625539,23.1387865231077,24.4306102869709,25.6796589796418,27.7965930245226,32.0499566241938,40.7176838116182,44.5668287584030,49.7326913134041,66.9579689346611,80.1612620709065,88.1388352867218,91.9282676317507,93.9395280364300,97.1412577473917,101.808340744390,108.306749971413,117.135477954974,126.677238525034,134.741805428592,141.547227730204,147.467797604271,153.000000000000,156.216501927115,158.024701996381,158.740375811287,159.459483148915,160.217181708409,160.771271173439,162.681368069999
"Philippines",,,,,,,,,1.00000000000000,1.00000000000000,1.10517091807565,1.80967483607192,2.06402675698447,2.06402675698447,2.06402675698447,2.21034183615129,2.71451225410788,2.95310297465066,3.00000000000000,3.00000000000000,3.00000000000000,3.00000000000000,3.00000000000000,3.00000000000000,3.00000000000000,3.00000000000000,3.00000000000000,3.00000000000000,3.00000000000000,3.00000000000000,3.00000000000000,3.00000000000000,3.00000000000000,3.00000000000000,3.00000000000000,3.00000000000000,3.00000000000000,3.00000000000000,3.00000000000000,3.00000000000000,3.00000000000000,3.00000000000000,3.00000000000000,3.31551275422694,4.52418709017980,6.63102550845389,10.7921370344860,18.2279043170837,29.8596347951867,44.3370334837620,56.4184346456115,70.7309387568414,100.436953401992,130.014876411014,156.934270366742,180.666481029915,202.437716451532,225.308890101927,254.189311157399,296.652013865654,343.838218853665,380.000000000000,432.941452657149,493.166049429528,552.043990639906,613.585343417816,686.289648349416,766.410495414783,842.730616386250
"India",,,,,,,,,1.00000000000000,1.00000000000000,1.10517091807565,1.80967483607192,2.71451225410788,3.00000000000000,3.00000000000000,3.00000000000000,3.00000000000000,3.00000000000000,3.00000000000000,3.00000000000000,3.00000000000000,3.00000000000000,3.00000000000000,3.00000000000000,3.00000000000000,3.00000000000000,3.00000000000000,3.00000000000000,3.00000000000000,3.00000000000000,3.00000000000000,3.00000000000000,3.00000000000000,3.00000000000000,3.00000000000000,3.00000000000000,3.00000000000000,3.00000000000000,3.00000000000000,3.31551275422694,4.52418709017980,5.52585459037824,25.3354477050069,33.1551275422694,34.2602984603451,36.5110484055360,39.9464124111458,44.6662167322276,50.8108034568043,58.5377547337766,67.9902700703871,79.2530134857333,92.2934166396679,106.890520517100,123.989245507401,145.066798494367,172.406663219801,209.606575784666,255.877748704347,307.856852098001,358.315617542240,396.000000000000,455.280157903983,495.033402698956,527.783389328903,554.551322426920,573.751599395894,580.047906492632,586.379920476505
"Italy",,,,,,,,,,2.00000000000000,2.00000000000000,2.00000000000000,2.00000000000000,2.00000000000000,2.03176118526980,2.21034183615129,2.71451225410788,2.95310297465066,3.00000000000000,3.00000000000000,3.00000000000000,3.00000000000000,3.00000000000000,3.00000000000000,3.00000000000000,3.00000000000000,3.00000000000000,3.00000000000000,3.00000000000000,3.31551275422694,18.0967483607192,61.0200528954350,140.249799795574,242.451574189369,355.865035620358,500.642425888268,688.985831509581,928.949954248688,1228.94405754276,1597.66685897901,2044.12757103042,2577.78194778984,3208.80807717214,3948.54411844019,4810.11130654308,5809.25214583811,6965.42743120190,8303.23834313324,9854.27382380198,11659.5326175490,13772.6399810587,16264.1810554109,19143.6452533868,22392.0115841359,25980.3299437915,29902.3450929023,34142.9330403253,38677.4068363424,43471.1141786118,48479.3791835306,53647.8273776769,59138.0000000000,64496.2155066680,69938.8064263023,75311.8625866653,80516.1198610876,85442.9574136931,90006.1119447290,94217.3081768405
"Sweden",,,,,,,,,,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.10517091807565,2.21034183615129,6.33386192625172,7.73619642652953,10.8580490164315,13.4426761821611,16.5775637711347,22.9957781109824,38.6809821326477,85.0547172953802,111.622262725640,148.486279231193,198.810697841313,266.039383261125,353.296803858387,462.334086763578,592.010466364293,736.537658281271,884.071653166006,1028.78723647706,1166.34738165867,1294.53314675467,1413.51360421875,1525.83308461039,1632.03788525272,1733.66657013897,1833.19642061261,1934.00000000000,2012.46436758479,2090.68465558992,2158.16465869060,2212.45949938903,2252.73954383051,2280.38752305319,2296.79633745320
"Spain",,,,,,,,,,,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.00000000000000,1.10517091807565,1.80967483607192,2.00000000000000,2.00000000000000,2.00000000000000,2.00000000000000,2.00000000000000,2.00000000000000,2.00000000000000,2.00000000000000,2.00000000000000,2.00000000000000,2.00000000000000,2.00000000000000,2.00000000000000,2.00000000000000,2.21034183615129,5.42902450821576,11.7628864344675,16.5775637711347,28.9547973771507,48.2691603014375,76.0063431150206,111.877383741337,156.801663430420,213.146624387221,286.239267781593,386.817803966059,530.348339166178,743.780027864911,1075.74015103304,1533.69942357095,2060.31480086788,2516.47418045825,4734.10937116414,6853.83503879390,8618.12281915390,10622.0783698956,12847.0369936602,15264.1266057314,17835.9118104728,20518.7974963571,23265.9391066777,26030.3628420585,28768.0000000000,31233.0667805428,33506.2805220062,35437.0370400038,36939.6095760227,37953.7810596602,38454.4139331639,38598.2387752777
